#timestamp meanTrustHonest meanTrustMalicious
1 0.5 0.5
2 0.699602265601506 0.5
3 0.7226314384770468 0.5
4 0.7368188787956099 0.5
5 0.749443582868641 0.5
6 0.7614834572879657 0.5
7 0.7726118642545997 0.5
8 0.7842606235118577 0.5
9 0.7948370503993217 0.5
10 0.8038768538379193 0.5
11 0.8148000258736536 0.5
12 0.8232785102641991 0.5
13 0.8323599607116436 0.5
14 0.840397522171136 0.5
15 0.8485001393713422 0.5
16 0.8562541493390698 0.5
17 0.8627618611784404 0.5
18 0.8699084914326051 0.5
19 0.8764796990019101 0.5
20 0.8819705422607701 0.5
21 0.8872148897952077 0.5
22 0.8920934557027642 0.5
23 0.8969496814701421 0.5
24 0.9015601507347262 0.5
25 0.9051539404441318 0.5
26 0.9087363703122919 0.5
27 0.9116781539572252 0.5
28 0.9148521284221207 0.5
29 0.9178050575825504 0.5
30 0.9208665492584027 0.5
31 0.923235202062892 0.5
32 0.9254961536292268 0.5
33 0.9276767689982754 0.5
34 0.9297527401217612 0.5
35 0.9316040166441353 0.5
36 0.9332239870338114 0.5
37 0.9345258428445653 0.5
38 0.9360393385257841 0.5
39 0.9374061046820744 0.5
40 0.938489264718435 0.5
41 0.9393147211568564 0.5
42 0.9401543511043361 0.5
43 0.9410096321540662 0.5
44 0.9417820738129304 0.5
45 0.9426669043794835 0.5
46 0.9433005195654107 0.5
47 0.9439123750196259 0.5
48 0.9444613053703061 0.5
49 0.9449197539623805 0.5
50 0.9452937138318743 0.5
51 0.9456379405119628 0.5
52 0.9460007169722259 0.5
53 0.9463260716800779 0.5
54 0.9467495362558964 0.5
55 0.9470672803061742 0.5
56 0.9472662606170872 0.5
57 0.9475699535524222 0.5
58 0.9478041003526337 0.5
59 0.9479891468290415 0.5
60 0.9481565335763589 0.5
61 0.948335118116364 0.5
62 0.9484961340073184 0.5
63 0.9486327034059304 0.5
64 0.9487624671839561 0.5
65 0.9488921885525199 0.5
66 0.9489970137475726 0.5
67 0.9491063854962946 0.5
68 0.9491597418833535 0.5
69 0.9492206112073127 0.5
70 0.9492926623381928 0.5
71 0.9493344206312744 0.5
72 0.9494008824221964 0.5
73 0.9494351160319345 0.5
74 0.9494631855490117 0.5
75 0.9495086711774077 0.5
76 0.9495549180160419 0.5
77 0.9495677294999192 0.5
78 0.949598395857387 0.5
79 0.9496293801104567 0.5
80 0.9496740985355772 0.5
81 0.9497096170297293 0.5
82 0.9497433474628802 0.5
83 0.9497806488888868 0.5
84 0.9498125156103276 0.5
85 0.9498317151150013 0.5
86 0.9498649218645625 0.5
87 0.9498929021682804 0.5
88 0.9498892660239028 0.5
89 0.949887350641615 0.5
